Identifiant d’acte,Type d’acte,Id Personne A,Id Personne B,Commune,Date,Num Vue
289,Mariage,222,5918,190,1782-06-09,283/334
290,Mariage,223,6192,45,1878-05-15,118/188
291,Mariage,223,6336,160,1813-11-03,41/174
292,Mariage,214,6450,5,1753-02-28,320/331
293,Mariage,222,6541,70,1857-02-16,17/123
294,Mariage,215,7028,240,1760-01-08,163/384
295,Mariage,222,7365,219,1797-09-26,12/042
296,Mariage,217,7364,240,,23/201
297,Mariage,218,7665,59,1782-06-18,126/210
298,Mariage,221,7775,240,1767-05-12,217/384
299,Mariage,220,7807,233,1773-02-17,n/a
300,Mariage,222,7860,253,1828-11-25,72/216
301,Mariage,219,8064,97,1750-06-02,201/364
302,Mariage,211,6296,45,1875-04-28,79/188
303,Mariage,212,5306,45,1813-03-01,215/413
304,Mariage,213,3684,162,1876-01-11,29/210
305,Mariage,213,5439,162,1854-06-21,179/259
306,Mariage,224,7732,162,1848-01-11,117/503
307,Mariage,226,7170,148,1882-11-21,93/095
308,Mariage,225,6063,360,1910-06-21,3/007
309,Mariage,227,8179,196,1692-11-01,66/306
310,Mariage,230,5733,64,1863-09-21,n/a
311,Mariage,231,6047,129,1739-08-04,51/339
312,Mariage,228,4095,129,1807-09-20,52/418
313,Mariage,229,5062,129,1837-07-03,492/526
314,Mariage,232,4339,129,1897-06-02,51/096
315,Mariage,235,5734,128,1873-11-25,21/079
316,Mariage,233,7920,129,1860-01-18,25/057
317,Mariage,234,4164,129,1889-02-20,22/101
318,Mariage,236,4841,209,1735-10-18,n/a
319,Mariage,237,5670,261,1850-07-15,121/504
320,Mariage,238,6258,285,1647-07-15,6/025
321,Mariage,239,5677,86,1662-01-16,16/035
322,Mariage,244,4173,35,1808-02-24,n/a
323,Mariage,242,7829,35,1826-09-26,n/a
324,Mariage,243,8158,129,1775-11-28,38/404
325,Mariage,240,5697,64,1859-05-25,n/a
326,Mariage,241,8047,64,1841-06-14,n/a
327,Mariage,245,5776,267,1659-10-19,n/a
328,Mariage,252,4619,285,1673-07-25,24/025
329,Mariage,251,4685,284,1727-06-10,52/090
330,Mariage,248,5149,267,1688-11-22,n/a
331,Mariage,252,5382,23,1765-06-25,265/311
332,Mariage,248,5490,267,1678-01-19,n/a
333,Mariage,252,5542,267,1706-06-27,n/a
334,Mariage,252,5773,31,1768-06-07,8/012
335,Mariage,249,6584,125,1719-06-21,15/019
336,Mariage,252,6611,264,1655-11-10,15/018
337,Mariage,250,6908,200,1649-06-23,14/050
338,Mariage,252,6908,271,1649-01-01,n/a
339,Mariage,252,7056,35,1767-06-02,n/a
340,Contrat de mariage,252,7057,129,1767-05-14,123 et 124/635
341,Mariage,247,5353,238,1748-01-30,2/090
342,Mariage,247,5678,238,1738-01-07,44/140
343,Mariage,246,7378,238,1779-07-06,85/128
344,Mariage,264,5432,209,1748-02-06,n/a
345,Mariage,264,7442,209,1736-07-03,n/a
346,Mariage,262,7674,205,1694-11-16,228/387
347,Mariage,263,7970,261,1819-07-06,19/388
348,Mariage,254,4268,129,1904-06-22,12/036
349,Mariage,253,7574,129,1909-11-22,14/016
350,Mariage,255,7576,129,1809-11-20,240/418
351,Mariage,256,6695,129,1864-04-25,5/041
352,Mariage,257,7280,129,1897-02-10,47/096
353,Mariage,259,4177,129,1872-04-23,33/204
354,Mariage,258,4216,129,1874-06-08,82/204
355,Mariage,258,5352,129,1868-11-09,246/327
356,Mariage,261,6952,129,1865-09-04,39/327
357,Mariage,260,4509,128,1908-08-10,9/012
358,Mariage,265,6854,55,1648-07-06,17/043
359,Mariage,267,3596,305,1743-02-19,98/128
360,Mariage,267,4267,209,1716-06-30,n/a
361,Mariage,267,6833,305,1754-09-17,2/002
362,Mariage,267,8138,305,1768-02-09,34/119
363,Mariage,266,5527,129,1904-01-13,2/036
364,Mariage,268,4987,267,1664-01-06,n/a
365,Mariage,270,6211,86,1787-05-01,27/116
366,Mariage,271,7883,285,1695-04-27,35/051
367,Mariage,269,4094,129,1890-11-04,47/101
368,Mariage,273,3917,58,1660-09-08,20/064
369,Mariage,272,4762,267,1672-03-21,n/a
370,Mariage,281,3824,261,1790-06-01,111/159
371,Mariage,276,4186,261,1762-08-24,96/150
372,Mariage,283,4560,266,1767-10-20,182/446
373,Mariage,277,4845,87,1783-08-26,60/146
374,Mariage,283,4869,98,1720-07-02,n/a
375,Mariage,278,5546,129,1835-02-24,315/526
